equipment_object_type, np_drf_fleet
EV0309, "Artillery Systems"
EV0B54, "Standard Military Pattern (SMP), Light"
EV0B68, "Standard Military Pattern (SMP), Light"
EV0B80, "Standard Military Pattern (SMP), Heavy"
EV0B82, "Standard Military Pattern (SMP), Light"
EV0B94, "Standard Military Pattern (SMP), Heavy"
EV0B97, "Standard Military Pattern (SMP), Light"
EV0J06, "Light Armoured Vehicle (LAV) Gen II"
EV0J07, "Light Armoured Vehicle (LAV) Gen II"
EV0J08, "Light Armoured Vehicle (LAV) Gen III"
EV0J31, "Light Armoured Vehicle, Tracked (TLAV)"
EV0J35, "Light Armoured Vehicle, Tracked (TLAV)"
EV0J36, "Light Armoured Vehicle, Tracked (TLAV)"
EV0J37, "Light Armoured Vehicle, Tracked (TLAV)"
EV0J38, "Light Armoured Vehicle, Tracked (TLAV)"
EV0J44, "Tactical Armoured Patrol Vehicle (TAPV)"
EV0J46, "Light Armoured Vehicle Upgrade (LAV Up)"
EV0J81, "Leopard II Tank"
EV0J82, "Leopard II Tank"
EV0J83, "Leopard II Tank"
