equipment_object_type, weapon_system_id
EV0309, "Heavy Calibre Weapon"
EV0B54, "Logistic Vehicle"
EV0B68, "Logistic Vehicle"
EV0B80, "Logistic Vehicle"
EV0B82, "Logistic Vehicle"
EV0B94, "Logistic Vehicle"
EV0B97, "Logistic Vehicle"
EV0J06, "Armoured Vehicle"
EV0J07, "Armoured Vehicle"
EV0J08, "Armoured Vehicle"
EV0J31, "Armoured Vehicle"
EV0J35, "Armoured Vehicle"
EV0J36, "Armoured Vehicle"
EV0J37, "Armoured Vehicle"
EV0J38, "Armoured Vehicle"
EV0J44, "Armoured Vehicle"
EV0J46, "Armoured Vehicle"
EV0J81, "Armoured Vehicle"
EV0J82, "Armoured Vehicle"
EV0J83, "Armoured Vehicle"
